,3m,3m_gini
295,Ahnak,0.00010110953146804714
296,Ahsg,0.0016405688466994172
297,Aif1,2.556385470480326e-05
298,Aimp1,9.151099856920144e-05
299,Aimp2,4.1610986775668504e-05
300,Aip,4.767423043101288e-05
301,Ak2,7.14580420689541e-05
302,Ak3,0.00016219961618043385
303,Ak4,3.7252440305206705e-05
304,Akap10,5.166709718151215e-05
305,Akap12,0.00019804694242360623
306,Akap13,7.044011851820753e-05
307,Akap2,8.897911799856023e-05
308,Akap7,6.592846845506406e-05
309,Akap8l,2.437557318503715e-05
310,Akirin1,5.578291336220391e-05
311,Akr1a1,0.0002904998014427896
312,Akr1b10,3.300055696628104e-05
313,Akr1e1,9.497292441050295e-05
314,Akr7a5,0.0001269933286433754
315,Akt1,3.4401396748700447e-05
316,Akt2,6.589978896601181e-05
317,Aktip,0.00010571774177388008
318,Alad,4.8748265537191534e-05
319,Alas1,0.00013242150971916824
320,Alb,0.01086333634128133
321,Aldh1l1,0.0001453585471784016
322,Aldh2,0.00015293482879169147
323,Aldh4a1,0.00021657610933194032
324,Aldh6a1,0.0003221000976612128
325,Aldh7a1,9.143994371865263e-05
326,Aldh9a1,8.422084444300451e-05
327,Aldoa,0.0002569540363710654
328,Aldoart1,0.00010446000573621725
329,Aldob,0.0001761009057295937
330,Aldoc,4.782802830584406e-05
331,Alg5,5.643052301903378e-05
332,Alkbh5,0.0004892489708808094
333,Alox5ap,7.719468421460871e-05
334,Alpl,0.00011640949416016582
335,Amacr,9.701183254314998e-05
336,Amdhd2,0.00016329856134518052
337,Amfr,0.00027342199010178537
338,Anapc1,4.637939995065471e-05
339,Anapc11,9.948901767426549e-05
340,Anapc13,0.00046719959427615195
341,Anapc2,0.0001078728018603231
342,Anapc4,6.627384868266175e-05
343,Anapc5,7.075263301790389e-05
344,Angel2,6.525926007624187e-05
345,Ank3,0.0001051469073956417
346,Ankfy1,4.3813494390176715e-05
347,Ankhd1,4.415110109355313e-05
348,Ankib1,6.977920244647848e-05
349,Ankle2,7.906064341477883e-05
350,Ankmy2,8.177316533346243e-05
351,Ankrd11,0.00010484414573051587
352,Ankrd12,4.513704419599904e-05
353,Ankrd13a,0.00012625702887498442
354,Ankrd13c,8.246854464087526e-05
355,Ankrd17,5.348527948718367e-05
356,Ankrd33b,2.7726221538754225e-05
357,Anks1,6.744580670803805e-05
358,Anks3,3.84083938509159e-05
359,Anp32a,9.621809819198512e-05
360,Anp32b,0.00022235337518198666
361,Anp32e,9.412384935153472e-05
362,Anpep,5.676941369703159e-05
363,Anxa1,0.0002532589337350405
364,Anxa11,7.230348176286143e-05
365,Anxa2,0.00010444338533090999
366,Anxa3,0.00011300270680269158
367,Anxa4,4.384211795960478e-05
368,Anxa5,0.00014470411162348414
369,Anxa6,9.822267495769463e-05
370,Anxa7,9.994510914421608e-05
371,Anxa8,7.697697277626517e-05
372,Ap1b1,9.356690447811787e-05
373,Ap1g1,4.7565810552394934e-05
374,Ap1m1,8.771958189414816e-05
375,Ap1s1,8.293126947756562e-05
376,Ap2a2,0.00017717076942732859
377,Ap2m1,0.00016031304728254925
378,Ap2s1,0.00017856280280213635
379,Ap3b1,6.591750668906325e-05
380,Ap3d1,5.1307547004386484e-05
381,Ap4s1,7.926342670250818e-05
382,Apba3,3.544808800955517e-05
383,Apbb1ip,0.00011963440217882281
384,Apbb2,4.171852956082246e-05
385,Aph1a,9.902227452309162e-05
386,Api5,8.944801748962146e-05
387,Aplnr,1.640503179108085e-05
388,Aplp1,0.0017267137495220615
389,Aplp2,0.0006684315991763217
390,Apoa1,0.004217879313597846
391,Apoa1bp,5.2808483311506634e-05
392,Apoa2,0.0011034105157796228
393,Apob,3.811486007955006e-05
394,Apobec1,3.557866649498836e-05
395,Apobec3,8.295312142676658e-05
396,Apoc1,0.00011778071670796748
397,Apoc4,3.360448354816269e-05
398,Apod,0.00010472220608245173
399,Apoe,0.0037318896361382406
400,Apoo,8.986898717107438e-05
401,App,0.0028431275236266806
402,Aprt,0.00010939651458428518
403,Aqp11,5.516829903450698e-05
404,Aqp3,0.0001394587611588915
405,Araf,3.6425628489908924e-05
406,Arap3,4.155016184147666e-05
407,Arc,2.5378633808179995e-05
408,Arcn1,0.00010733897992984515
409,Areg,8.106687084368972e-05
410,Arf1,0.00015033341690857865
411,Arf3,2.8306693584420162e-05
412,Arf4,0.00015538415165220861
413,Arf5,9.966034899730164e-05
414,Arf6,7.167741060229613e-05
415,Arg1,6.910834088798421e-05
416,Arglu1,0.0003428787797217233
417,Arhgap1,5.085299210098275e-05
418,Arhgap30,4.4282927443052235e-05
419,Arhgap42,5.557242068936511e-05
420,Arhgap44,4.661112012682331e-05
421,Arhgap5,3.228022951530094e-05
422,Arhgdia,0.0005171605666023681
423,Arhgdib,0.0010684550551052598
